sym,start,start_px,base_days_within20,peak1,peak1_px,move1_pct,move1_h,pullback1,pullback1_px,pullback1_pct,kept_of_move1,pullback1_h,move2_start_after_peak1_h,peak2,peak2_px,move2_pct,peak2_vs_peak1,pullback2,pullback2_px,pullback2_pct,pullback2_vs_start,now_vs_start_pct,now_vs_peak1_pct,note
AKE,28.08 00:30,0.006745,0.9,29.08 06:30,0.0116,72,30,01.09 01:30,0.007659,-34,19,67,67,02.09 23:30,0.021984,187,90,03.09 07:30,0.012739,-42,89,426,206,
LSK,28.08 07:30,0.09325,1.6,13.09 05:30,1.6759,1697,382,13.09 09:30,0.73027,-56,40,4,4,13.09 18:30,1.03254,41,-38,14.09 02:30,0.68833,-33,638,270,-79,
ONE,10.09 06:30,0.0006306,4.4,18.09 00:30,0.0021121,235,186,18.09 05:30,0.0015097,-29,59,5,5,20.09 00:30,0.0049056,225,132,21.09 04:30,0.0030815,-37,389,247,4,
TAC,26.08 15:30,0.003976,0.0,27.08 11:30,0.007056,77,20,28.08 18:30,0.002253,-68,-56,31,31,29.08 14:30,0.002953,31,-58,31.08 17:30,0.002143,-27,-46,-60,-77,
ONG,26.08 15:30,0.12041,0.0,27.08 00:30,0.21685,80,9,01.09 02:30,0.0856,-61,-36,122,122,01.09 22:30,0.1146,34,-47,16.09 10:30,0.07397,-35,-39,-21,-56,
SKR,26.08 17:30,0.00771,0.1,28.08 03:30,0.012,56,34,28.08 20:30,0.008921,-26,28,17,17,31.08 04:30,0.032524,265,171,31.08 12:30,0.023259,-28,202,163,69,
SAGA,10.09 00:30,0.01372,7.0,25.09 02:30,0.07929,478,362,25.09 06:30,0.03115,-61,27,4,4,25.09 14:30,0.0399,28,-50,,,,,191,-50,
USELESS,28.08 20:30,0.05905,2.1,05.09 19:30,0.30013,408,191,07.09 09:30,0.19697,-34,57,38,38,09.09 13:30,0.33036,68,10,14.09 15:30,0.1945,-41,229,409,0,
HEMI,26.08 17:30,0.006977,0.1,02.09 04:30,0.021454,207,155,02.09 05:30,0.012567,-41,39,1,1,03.09 08:30,0.020437,63,-5,23.09 23:30,0.005986,-71,-14,-8,-70,
NIL,16.09 21:30,0.03911,6.9,24.09 07:30,0.14617,274,178,25.09 09:30,0.10781,-26,64,26,,,,,,,,,,243,-8,
PROM,26.08 16:30,3.851,0.0,30.08 04:30,7.628,98,84,02.09 16:30,4.464,-41,16,84,84,08.09 16:30,6.149,38,-19,22.09 17:30,4.349,-29,13,41,-29,
G,31.08 01:30,0.003614,4.4,20.09 08:30,0.014837,311,487,23.09 22:30,0.005536,-63,17,86,,,,,,,,,,59,-61,
SYN,14.09 00:30,0.0778,7.0,19.09 11:30,0.26388,239,131,20.09 15:30,0.19562,-26,63,28,28,21.09 21:30,0.27093,38,3,24.09 18:30,0.19292,-29,148,185,-16,
