sym,at,day,ses,up48,dn48,went,px48,oi48,fund_min,board,lead,top24,ladder,r1,fneg,flush,topdn
STRK,07.09 13:12,Mon,Лондон,4,-5,0,6,15,0.005,0.0,1,-5,0,1,0,0,0
STRK,08.09 20:08,Tue,НЙ,13,-6,0,-1,-3,0.005,0.7,0,23,0,0,0,0,0
STRK,11.09 20:09,Fri,НЙ,-1,-7,0,-10,-13,-0.0,2.2,1,-17,0,0,0,0,1
STRK,20.09 04:30,Sun,Токио,12,-6,0,57,131,0.005,1.8,1,-7,1,0,0,0,0
STRK,20.09 11:42,Sun,Лондон,12,-8,0,30,63,0.005,-0.8,1,-3,1,0,0,0,0
FLOCK,07.09 13:12,Mon,Лондон,10,-26,0,29,9,-0.099,0.0,1,4,1,0,1,0,0
FLOCK,08.09 02:20,Mon,Сидней,22,-19,0,-2,-27,-0.07,-0.8,0,16,1,0,1,0,0
FLOCK,09.09 17:38,Wed,НЙ,5,-15,0,6,-13,-0.158,0.2,1,8,1,0,1,0,0
FLOCK,13.09 12:38,Sun,Лондон,12,-19,0,32,89,-0.026,-0.4,1,2,1,0,0,0,0
RAYSOL,07.09 13:12,Mon,Лондон,23,-11,0,43,246,-0.063,0.0,1,4,1,0,1,0,0
RAYSOL,08.09 02:20,Mon,Сидней,27,-9,0,30,163,-0.063,-0.8,0,21,1,0,1,0,0
RAYSOL,08.09 21:31,Tue,НЙ,25,-3,0,-15,-47,-0.063,0.5,0,-3,1,0,1,0,0
RAYSOL,09.09 08:08,Wed,Токио,40,-5,0,3,-29,-0.014,-0.3,0,-2,1,0,0,0,0
RAYSOL,10.09 08:07,Thu,Токио,32,-6,0,21,20,-0.076,-4.5,1,-17,1,0,1,1,1
RAYSOL,10.09 22:38,Thu,НЙ,26,-2,0,19,27,-0.148,-6.3,0,-14,1,0,1,1,1
RAYSOL,12.09 01:38,Fri,Сидней,4,-15,0,36,116,-0.148,-0.1,1,0,1,0,1,0,0
RAYSOL,14.09 02:39,Sun,Сидней,3,-16,0,-17,-45,-0.018,-1.7,1,9,1,0,0,1,0
RAYSOL,18.09 10:09,Fri,Лондон,14,-5,0,30,50,0.004,4.0,1,-6,1,0,0,0,0
RAYSOL,21.09 19:13,Mon,НЙ,16,-3,0,0,-4,0.005,5.5,1,7,1,0,0,0,0
RAYSOL,24.09 05:43,Thu,Токио,11,-4,0,10,31,0.005,-4.9,1,-11,1,1,0,1,1
DOOD,07.09 13:55,Mon,Лондон,9,-24,0,52,368,0.005,0.0,0,-29,1,0,0,0,1
DOOD,08.09 19:38,Tue,НЙ,6,-13,0,0,34,0.005,1.0,0,1,1,1,0,0,0
DOOD,09.09 03:39,Wed,Токио,5,-11,0,-10,-11,0.005,0.2,0,9,1,0,0,0,0
DOOD,11.09 20:38,Fri,НЙ,8,-2,0,-4,-11,0.005,1.2,0,11,1,0,0,0,0
4,07.09 13:55,Mon,Лондон,11,-11,0,-3,-22,0.005,0.0,0,7,1,0,0,0,0
NAORIS,07.09 13:55,Mon,Лондон,13,-5,0,29,43,0.005,0.0,0,-6,1,0,0,0,0
NAORIS,09.09 06:08,Wed,Токио,4,-19,0,3,-2,0.005,-0.9,0,5,1,0,0,0,0
SOPH,07.09 15:42,Mon,Лондон,134,-14,1,18,84,0.005,0.3,0,-19,0,0,0,0,1
SOPH,09.09 01:40,Tue,Сидней,1,-35,0,44,242,-2.0,-0.1,0,39,1,0,1,0,0
SOPH,10.09 02:08,Wed,Сидней,15,-3,0,-27,-31,-2.0,-4.9,1,-13,1,0,1,1,1
SOPH,10.09 14:07,Thu,Лондон,18,-3,0,-61,-68,-2.0,-5.7,0,-4,1,0,1,1,0
SOPH,11.09 15:08,Fri,Лондон,13,-13,0,-18,-35,-0.137,-2.5,0,10,1,0,1,1,0
SOPH,16.09 17:09,Wed,НЙ,6,-6,0,-2,-3,-0.188,-4.1,1,6,1,0,1,1,0
XAN,08.09 01:08,Mon,Сидней,12,-49,0,19,42,0.005,-0.6,0,-2,1,0,0,0,0
XAN,09.09 02:48,Tue,Сидней,4,-14,0,-41,-33,-0.12,-0.2,0,-12,1,0,1,0,1
SOLV,08.09 07:08,Tue,Токио,12,-16,0,37,169,0.005,0.2,1,-21,1,0,0,0,1
SOLV,08.09 22:08,Tue,НЙ,4,-18,0,18,52,0.005,-0.1,0,23,1,0,0,0,0
SOLV,10.09 02:08,Wed,Сидней,13,-5,0,-4,-12,0.005,-4.9,1,7,1,0,0,1,0
SOLV,10.09 12:38,Thu,Лондон,9,-8,0,-5,-14,0.005,-5.6,0,21,1,0,0,1,0
SOLV,16.09 15:39,Wed,Лондон,20,-19,0,4,7,0.004,-3.9,1,4,1,0,0,1,0
SOLV,17.09 09:39,Thu,Токио,-1,-18,0,-1,14,0.004,1.5,1,0,1,0,0,0,0
SOLV,20.09 01:17,Sat,Сидней,4,-17,0,3,5,-0.016,0.9,1,25,1,0,0,0,0
NOM,08.09 09:37,Tue,Токио,9,-12,0,-1,-1,0.005,-0.2,1,18,1,0,0,0,0
ARB,08.09 13:08,Tue,Лондон,1,-17,0,-10,-7,-0.003,1.1,1,13,1,0,0,0,0
ARB,09.09 06:38,Wed,Токио,5,-16,0,-9,-10,-0.002,-1.0,0,6,1,0,0,1,0
ARB,10.09 16:08,Thu,НЙ,4,-7,0,-14,-24,-0.014,-7.5,1,35,1,0,0,1,0
ARB,16.09 13:42,Wed,Лондон,45,-3,1,17,26,-0.011,-3.5,1,-36,1,0,0,1,1
ARB,17.09 01:09,Wed,Сидней,40,-2,1,20,26,-0.011,0.5,1,-26,1,0,0,0,1
ARB,17.09 22:09,Thu,НЙ,29,-4,0,23,17,-0.011,4.1,1,8,1,0,0,0,0
ARB,20.09 08:42,Sun,Токио,17,-7,0,-1,-7,0.01,0.6,1,8,1,0,0,0,0
ARB,21.09 01:42,Sun,Сидней,10,-7,0,3,-3,-0.002,-0.0,0,-12,1,0,0,0,1
ARB,21.09 17:42,Mon,НЙ,7,-11,0,13,18,-0.002,6.7,1,-8,1,0,0,0,0
REZ,08.09 14:26,Tue,Лондон,23,-8,0,3,20,0.005,0.5,1,-19,0,1,0,0,1
REZ,09.09 16:42,Wed,НЙ,22,-9,0,-1,-12,0.005,0.3,1,5,0,0,0,0,0
REZ,11.09 18:38,Fri,НЙ,49,-6,1,5,69,-0.384,2.6,0,1,0,1,1,0,0
REZ,12.09 19:38,Sat,НЙ,42,-7,1,18,4,-0.091,1.6,1,3,0,0,1,0,0
REZ,13.09 11:08,Sun,Лондон,37,-4,0,25,64,-0.106,0.3,1,-19,0,0,1,0,1
REZ,13.09 18:39,Sun,НЙ,32,-10,0,16,44,-0.106,-0.5,1,-17,0,0,1,0,1
REZ,14.09 12:39,Mon,Лондон,2,-30,0,51,142,-0.106,0.1,1,9,1,0,1,0,0
REZ,16.09 07:34,Wed,Токио,13,-10,0,-21,-24,-0.035,-3.8,1,0,1,0,0,1,0
REZ,16.09 20:09,Wed,НЙ,14,-7,0,-12,-15,-0.035,-3.5,1,-5,1,0,0,1,0
REZ,17.09 16:09,Thu,НЙ,8,-6,0,6,8,-0.035,3.0,1,5,1,0,0,0,0
ZK,08.09 19:38,Tue,НЙ,4,-12,0,-7,-21,0.005,1.0,0,-6,0,0,0,0,0
ZK,20.09 06:12,Sun,Токио,6,-5,0,21,28,0.005,-0.9,1,-5,0,0,0,0,0
ZK,21.09 01:42,Sun,Сидней,4,-3,0,5,-3,0.005,-0.0,0,-2,0,0,0,0,0
BULLA,08.09 20:38,Tue,НЙ,61,-13,1,9,3,0.008,0.2,0,1,1,0,0,0,0
BULLA,14.09 01:09,Sun,Сидней,11,-11,0,6,-3,0.006,0.0,1,35,1,0,0,0,0
BULLA,15.09 22:39,Tue,НЙ,89,-18,1,-3,-5,0.005,-4.2,1,-24,1,0,0,1,1
BULLA,18.09 13:09,Fri,Лондон,7,-9,0,54,23,-0.04,4.4,1,5,1,0,0,0,0
FF,08.09 21:16,Tue,НЙ,20,1,0,18,23,0.005,0.4,0,-4,0,0,0,0,0
FF,09.09 13:08,Wed,Лондон,12,-7,0,29,35,0.005,-1.0,0,-12,0,0,0,1,1
FF,09.09 22:40,Wed,НЙ,14,-3,0,25,29,0.005,-0.7,1,-3,0,0,0,0,0
FF,10.09 05:39,Thu,Токио,15,-2,0,25,28,0.005,-4.7,1,1,0,0,0,1,0
CATI,08.09 23:45,Tue,НЙ,6,-6,0,15,6,0.005,-0.4,0,44,1,0,0,0,0
CATI,11.09 13:12,Fri,Лондон,15,-5,0,-1,-8,0.005,-1.8,0,4,1,0,0,1,0
CATI,13.09 12:38,Sun,Лондон,3,-12,0,12,19,0.005,-0.4,1,3,1,0,0,0,0
USELESS,09.09 00:38,Tue,Сидней,20,-23,0,26,34,0.005,-0.8,0,-4,1,0,0,0,0
USELESS,09.09 09:08,Wed,Токио,4,-38,0,47,63,0.005,-0.7,0,-5,1,0,0,0,0
USELESS,10.09 14:37,Thu,Лондон,2,-21,0,-3,-11,0.005,-5.0,1,5,1,0,0,1,0
USELESS,11.09 01:08,Thu,Сидней,6,-18,0,-13,-26,0.005,-4.3,0,4,1,0,0,1,0
USELESS,11.09 16:38,Fri,НЙ,5,-15,0,-21,-38,0.005,-0.1,0,3,1,0,0,0,0
USELESS,12.09 11:09,Sat,Лондон,5,-14,0,-3,-9,0.003,2.9,1,0,1,0,0,0,0
USELESS,16.09 12:39,Wed,Лондон,14,-10,0,23,31,0.005,-4.0,1,8,1,0,0,1,0
USELESS,18.09 23:42,Fri,НЙ,7,-17,0,24,18,0.005,5.8,1,3,1,0,0,0,0
USELESS,24.09 07:12,Thu,Токио,3,-11,0,15,14,0.005,-5.9,1,4,1,0,0,1,0
DOGS,09.09 05:08,Wed,Токио,0,-17,0,13,73,-0.103,-1.6,0,-46,1,0,1,1,1
DOGS,10.09 15:37,Thu,Лондон,17,-4,0,-4,17,-0.103,-6.0,1,10,1,1,1,1,0
DOGS,11.09 06:38,Fri,Токио,11,-4,0,2,-23,0.005,-3.6,0,12,1,0,0,1,0
DOGS,14.09 15:42,Mon,Лондон,1,-15,0,0,-16,0.005,-1.5,1,23,1,0,0,1,0
INJ,09.09 05:38,Wed,Токио,0,-10,0,17,45,0.01,-1.7,0,15,0,0,0,1,0
INJ,10.09 21:08,Thu,НЙ,3,-5,0,-6,-9,0.007,-6.5,1,-1,0,0,0,1,0
METIS,09.09 06:08,Wed,Токио,3,-10,0,-9,-31,-0.047,-0.9,0,20,1,0,0,0,0
JUP,09.09 10:07,Wed,Лондон,1,-13,0,0,-7,-0.002,0.4,0,-7,0,0,0,0,0
IOST,09.09 10:38,Wed,Лондон,88,-24,1,36,142,0.01,-0.0,1,-1,1,0,0,0,0
IOST,11.09 02:38,Thu,Сидней,8,-14,0,15,32,-2.0,-4.1,0,51,1,0,1,1,0
IOST,12.09 02:38,Fri,Сидней,6,-14,0,-52,-64,-2.0,1.6,1,-3,1,0,1,0,0
IOST,12.09 23:38,Sat,НЙ,4,-14,0,-13,-8,-0.224,2.0,1,4,1,0,1,0,0
IOST,16.09 09:39,Wed,Токио,15,-4,0,1,-14,-0.097,-4.1,1,-7,1,0,1,1,0
IOST,17.09 00:44,Wed,Сидней,11,-7,0,5,-3,-0.922,-0.1,1,1,1,0,1,0,0
PHA,09.09 12:08,Wed,Лондон,23,-14,0,5,2,0.005,0.5,0,-5,0,0,0,0,0
PHA,12.09 20:08,Sat,НЙ,10,-2,0,2,-12,-0.012,0.7,1,11,0,0,0,0,0
PHA,13.09 08:38,Sun,Токио,1,-9,0,14,11,-0.101,1.5,1,-9,0,0,1,0,0
PHA,14.09 00:09,Sun,Сидней,4,-3,0,10,2,-0.101,0.4,1,2,0,0,1,0,0
PHA,22.09 05:42,Tue,Токио,11,-14,0,41,220,-0.058,4.6,1,-8,1,0,1,0,0
PHA,23.09 03:12,Wed,Токио,9,-9,0,31,144,-0.058,2.8,1,7,1,0,1,0,0
HIVE,09.09 23:08,Wed,НЙ,1,-5,0,0,-4,0.005,-1.3,1,-5,0,0,0,1,0
HIVE,14.09 15:42,Mon,Лондон,20,-5,0,11,69,-0.541,-1.5,1,10,0,0,1,1,0
HIVE,14.09 23:39,Mon,НЙ,17,-7,0,12,36,-0.541,0.6,1,11,0,0,1,0,0
HIVE,18.09 19:10,Fri,НЙ,5,-2,0,5,2,-0.096,5.0,1,-4,0,0,1,0,0
PLAY,10.09 00:08,Wed,Сидней,2,-14,0,0,10,0.005,-0.9,1,-3,0,0,0,0,0
PLAY,23.09 05:40,Wed,Токио,39,0,0,11,13,-0.007,2.1,1,-2,0,0,0,0,0
KAT,10.09 05:09,Thu,Токио,-1,-17,0,19,92,-0.135,-4.8,1,-62,1,0,1,1,1
KAT,11.09 02:38,Thu,Сидней,10,-3,0,0,13,-0.135,-4.1,0,23,1,0,1,1,0
KAT,11.09 19:10,Fri,НЙ,5,-6,0,-16,-31,-0.158,0.8,0,3,1,0,1,0,0
LUNA2,10.09 05:39,Thu,Токио,2,-4,0,-7,-23,0.005,-4.7,1,-5,0,0,0,1,0
LUNA2,23.09 01:18,Tue,Сидней,1,-14,0,2,-14,0.005,2.4,1,-3,1,0,0,0,0
BTR,10.09 06:38,Thu,Токио,12,-27,0,39,49,-0.002,-3.4,1,-7,1,0,0,1,0
SAHARA,10.09 15:08,Thu,Лондон,-1,-10,0,3,11,-0.024,-6.1,1,-39,0,0,0,1,1
AKE,10.09 15:37,Thu,Лондон,3,-42,0,-16,-29,-0.27,-6.0,1,1,1,0,1,1,0
