n,sym,group,start,day,session,hours,pre_px,pre_oi,pre_fund,run_px,run_oi,fund_min,fund_max,top0,top_pk,top_after,after_px,after_oi,btc
1,AKE,крупняк-лимитами,02.09 17:30,будни,Нью-Йорк,7,6,11,0.005,490,37,-0.015,0.031,0.8106,0.6872,0.8119,-23,-23,0
2,LSK,шорты-держат,11.09 06:00,будни,Токио,48,22,85,-0.283,1909,2130,-0.654,-0.008,0.9553,0.5285,0.8966,-44,-52,1
3,BULLA,нет графика,04.09 23:30,будни,Нью-Йорк,23,62,55,-0.024,266,204,-0.067,0.119,1.1177,0.9255,0.9613,-19,-24,0
4,ONE,шорты-держат,16.09 20:30,будни,Нью-Йорк,29,-4,-7,0.005,275,441,-1.131,0.005,1.9912,1.1007,1.2288,-14,-15,1
5,TAC,выкуп-дна,10.09 01:00,будни,Сидней,24,-35,-27,0.005,53,24,0.005,0.006,1.3038,1.1845,1.2063,-11,-14,-1
6,ONG,выкуп-дна,01.09 03:00,будни,Токио,11,-29,-19,-0.305,44,37,-0.472,-0.088,1.1301,1.1584,1.0448,-3,-7,-1
7,SKR,шорты-держат,29.08 06:30,вых,Токио,48,22,119,-0.125,266,700,-2.0,0.0,0.943,0.8481,1.0549,-11,10,0
8,SAGA,прострел-после-раздачи,23.09 06:00,будни,Токио,45,55,65,-0.001,133,117,0.005,0.005,5.4321,3.8205,2.304,-50,-56,-2
9,USELESS,крупняк-лимитами,02.09 14:30,будни,Лондон,46,65,226,-0.081,195,225,-0.012,0.008,0.8722,0.9875,1.0537,-10,-21,6
10,HEMI,коридор-не-памп,02.09 06:30,будни,Токио,26,8,7,0.005,96,74,0.005,0.006,2.1578,2.1612,2.2268,-23,-34,0
11,NIL,крупняк-лимитами,22.09 08:30,будни,Токио,48,53,141,0.005,113,229,0.005,0.005,1.5204,1.3275,1.4159,-13,-15,-2
12,PROM,крупняк-лимитами,28.08 05:30,будни,Токио,48,18,19,0.005,69,98,0.004,0.005,1.1451,1.1276,1.066,-9,-11,-2
13,G,топы-заранее,16.09 20:30,будни,Нью-Йорк,45,8,-8,-0.085,154,1024,0.003,0.073,1.0086,1.2393,1.2501,-23,-29,7
14,SYN,топы-заранее,14.09 16:30,будни,Нью-Йорк,42,-5,-8,0.0,180,466,-0.0,0.005,2.5533,1.0304,0.9639,-6,-14,-3
15,IOST,шорты-сливают,09.09 04:00,будни,Токио,21,15,173,0.01,172,247,-0.346,0.01,0.9809,0.7082,0.9169,-43,-57,-1
16,PHA,крупняк-лимитами,19.09 14:00,вых,Лондон,47,30,39,-0.005,101,277,-0.03,0.005,1.7069,1.1236,1.208,-21,-21,4
17,SOPH,шорты-сливают,07.09 05:00,будни,Токио,31,9,30,0.005,207,714,-0.228,0.045,1.1208,0.9812,1.6724,-49,-58,-2
18,FLOCK,шорты-держат,03.09 00:30,будни,Сидней,42,3,83,-0.595,91,234,-0.25,0.005,1.0558,1.0355,1.1612,-12,-27,3
19,MINA,крупняк-лимитами,20.09 20:30,вых,Нью-Йорк,48,13,-8,-0.041,47,75,-0.092,-0.011,1.4673,0.9873,1.0878,-6,-15,7
20,APR,толпа-в-лонг-откат,03.09 06:30,будни,Токио,16,3,-4,0.005,49,58,0.005,0.008,1.336,1.2109,1.2867,-21,-23,5
21,BICO,шорты-держат,26.08 20:30,будни,Нью-Йорк,19,0,3,-1.021,30,27,-1.138,-0.903,1.6025,1.3994,1.4215,-11,-15,1
22,ACE,выкуп-дна,01.09 12:30,будни,Лондон,15,-18,-14,-0.149,43,52,-0.993,-0.079,1.3551,1.3459,1.312,-13,-19,-1
23,RAYSOL,топы-сбрасывают-в-старт,04.09 20:30,будни,Нью-Йорк,47,0,-5,0.005,78,442,-0.03,0.005,1.8858,1.0051,1.1861,-13,-30,0
24,BMT,выкуп-дна,27.08 09:30,будни,Токио,15,-18,-37,-0.173,54,35,-0.042,-0.005,1.1474,1.1056,1.1565,-14,-18,2
25,BLESS,коридор-не-памп,23.09 17:00,будни,Нью-Йорк,16,5,10,0.005,40,16,0.005,0.018,1.2311,1.2791,1.2695,-4,-7,0
26,ARB,топы-сбрасывают-в-старт,04.09 15:30,будни,Лондон,43,18,8,-0.002,61,82,0.009,0.01,1.4196,1.103,1.176,-7,-10,0
27,CHIP,топы-сбрасывают-в-старт,02.09 19:30,будни,Нью-Йорк,34,0,-3,0.001,55,62,-0.01,0.005,2.2833,1.5823,1.5266,-12,-17,5
28,BR,топы-сбрасывают-в-старт,16.09 11:00,будни,Лондон,30,-17,15,0.005,257,337,0.005,0.048,1.7804,1.3569,1.381,-4,-6,2
29,4,крупняк-лимитами,04.09 17:30,будни,Нью-Йорк,27,10,10,0.005,139,184,0.029,0.066,2.0766,1.6579,1.9614,-25,-35,1
30,POWR,крупняк-лимитами,11.09 06:00,будни,Токио,48,1,5,0.005,85,239,0.005,0.005,1.1731,1.1299,1.168,-29,-22,1
