symbol,detected,score,case,strength,horizon_days,horizon_tf,horizon_readable,spring,churn,fuel,zone_price,plateau_bars,scale,error
BTCUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SNDKUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ETHUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SKHYNIXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
MUUSDT,1,76,flow_fuel,экстремальный,7,неделя,1,0.0,0.0,56.3,698.7602554304381,,,
SOXLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
KORUUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SKHYUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XAUUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SOLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SNXXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
CLUSDT,1,76,flow_fuel,экстремальный,7,неделя,1,0.0,0.0,56.3,78.9029020249522,,,
BANKUSDT,1,68,flow_churn,сильный,25,недели,1,0.0,42.4,0.0,0.029829917257590977,,,
SPCXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XAGUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
DRAMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SOXSUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
EWYUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
KOMAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
MMTUSDT,1,80,flow_fuel,экстремальный,12,недели,1,0.0,25.2,64.4,0.15236280712750996,,,
HYPEUSDT,1,80,flow_fuel,экстремальный,25,недели,1,0.0,0.0,64.4,47.56862382928008,,,
BZUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SAMSUNGUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XRPUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
MUUUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
COTIUSDT,1,56,flow_fuel,умеренный,25,недели,1,0.0,0.0,20.7,0.01709,,,
ZECUSDT,1,84,flow_fuel,экстремальный,25,недели,1,31.2,0.0,71.3,363.81989471216775,,,
BNBUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
QQQUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
GIGGLEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
DOGEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
UNIUSDT,1,80,flow_fuel,экстремальный,25,недели,1,0.0,0.0,64.4,3.382441351832684,,,
INTCUSDT,1,76,flow_fuel,экстремальный,12,недели,1,0.0,0.0,56.3,58.22,,,
ADAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AAPLUSDT,1,75,flow_churn,экстремальный,2,дни,0,0.0,55.4,0.0,293.6241458208912,,,
AKEUSDT,1,60,flow_churn,сильный,25,недели,1,0.0,27.7,0.0,0.0039224,,,
MRVLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TSLAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
NBISUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
CRCLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
NVDAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
DEXEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ONUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
MSFTUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AMZNUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
1000PEPEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ONDOUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,0.28039497082921216,,,
CAPUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
PAXGUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,3910.916657708666,,,
MSTRUSDT,1,76,flow_fuel,экстремальный,12,недели,1,0.0,0.0,56.3,85.78551637919561,,,
SUIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AAVEUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,82.64608942035225,,,
UAIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
WLDUSDT,1,80,flow_fuel,экстремальный,25,недели,1,0.0,0.0,64.4,0.28055777632672924,,,
KAITOUSDT,1,68,flow_churn,сильный,25,недели,1,0.0,42.4,0.0,0.9989676771065107,,,
BCHUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AMDUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
METAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ZHIPUUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
NEARUSDT,1,80,flow_fuel,экстремальный,25,недели,1,0.0,0.0,64.4,1.5901988536890321,,,
AXTIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
LINKUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
GOOGLUSDT,1,76,flow_fuel,экстремальный,2,дни,0,0.0,0.0,56.3,319.6052219456579,,,
PUMPUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,0.0015164901844164924,,,
ENAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
EULUSDT,1,67,flow_fuel,сильный,25,недели,1,0.0,0.0,40.3,1.6427105113256528,,,
ESPUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ARMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SPYUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
CFXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ESPORTSUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
COINUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TAOUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
LITEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AVAXUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,5.89,,,
MVLLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
1000SHIBUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
FILUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
CBRSUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
LAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ORCLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BEATUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ROBOUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
LTCUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
EPICUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
REUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XMRUSDT,1,84,flow_fuel,экстремальный,25,недели,1,0.0,0.0,71.3,303.3266763933769,,,
TSMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TQQQUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
UBUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
WDCUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
HOODUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
INJUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,3.417927902557811,,,
XAUTUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
RIFUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,29.5,56.3,0.03240365788061215,,,
PENGUUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ERAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TRXUSDT,1,84,flow_fuel,экстремальный,25,недели,1,51.7,0.0,71.3,0.31530867483630826,,,
LITUSDT,1,76,flow_fuel,экстремальный,12,недели,1,0.0,0.0,56.3,1.385298744969359,,,
AIOUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
RKLBUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XLMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ALLOUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
FETUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ZAMAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
RLCUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AAOIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
DOTUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
GLWUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
1000BONKUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
NATGASUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TRUMPUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
IRENUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
OPUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
1000XECUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BABAUSDT,1,84,flow_fuel,экстремальный,7,неделя,1,0.0,0.0,71.3,111.29793236498053,,,
ARBUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BULLAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ASTERUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
EVAAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
