symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,53,1,1,0.1339,0,1.16,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,63,1,2,0.2195,0,1.19,,
SNDKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,49,1,0,0.0,0,3.44,,
SOXLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,19,0,0,0.0,1,2.24,,
SKHYNIXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,10,0,0,0.0,1,1.67,,
MUUSDT,1,84,flow_fuel,сильный,7,неделя,0.0,0.0,47.0,0.0,64.7,0.0,753.1682827036693,41,0,1,0.0397,0,3.49,,
KORUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
SKHYUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
XAUUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,57,1,3,0.1796,0,0.0,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,76,1,2,0.3146,0,1.27,,
CLUSDT,1,77,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,57.3,0.0,82.24570804645252,9,0,1,0.1331,0,1.21,,
SNXXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
KOMAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,144,5,0,0.0,0,0.0,,
SPCXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,9,0,0,0.0,1,1.5,,
XAGUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,15,0,3,0.3064,0,1.67,,
BANKUSDT,1,81,flow_churn,сильный,25,недели,0.0,0.0,65.1,0.0,0.0,0.0,0.029876631825578873,193,6,0,0.0,0,0.0,,
DRAMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,14,0,0,0.0,0,1.76,,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,123,5,5,0.0088,1,0.0,,
MMTUSDT,0,44,none,,0,,0.0,0.0,44.3,0.0,0.0,0.0,,81,6,0,0.0,0,0.0,,
SOXSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
BZUSDT,1,77,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,57.3,0.0,86.88673145946981,12,0,1,0.0883,0,0.0,,
GIGGLEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,49,1,5,0.1305,1,1.12,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,80,0,2,0.1759,0,1.37,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,168,2,0,0.0,0,2.52,,
