symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
BTCUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,28,0,0,10,,0,,,
ETHUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,46,0,0,10,,0,,,
SOLUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,41,0,0,10,,0,,,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,132,0,0,10,,0,,,
BANKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,128,0,0,10,,0,,,
HEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,134,0,0,10,,0,,,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,17,0,0,3,,0,,,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,74,0,0,10,,0,,,
HOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,95,1,0,10,,0,,,
BLESSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,72,0,0,3,,0,,,
XRPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,51,0,0,10,,0,,,
UBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,3,,0,,,
BNBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,85,0,0,10,,0,,,
DOGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,59,0,0,10,,0,,,
PUMPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,36,0,0,10,,0,,,
ADAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,49,0,0,10,,0,,,
SKYAIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,121,0,0,10,,0,,,
COTIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,0,0,10,,0,,,
BICOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,115,0,0,10,,0,,,
HFTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,97,0,0,10,,0,,,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,49,1,0,10,,0,,,
1000RATSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,112,0,0,10,,0,,,
BTWUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,5,0,0,1,,0,,,
LITEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,1,,0,,,
GRVTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,0,,,
WLDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,89,0,0,10,,0,,,
UNIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,1,0,10,,0,,,
UAIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,0,0,3,,0,,,
ENAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,61,0,0,10,,0,,,
TAOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,79,0,0,10,,0,,,
