symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
AKEUSDT,1,72,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,46.8,0.0,0.00167565,100,4,3,3,up,0.107,0,0.01682,0.511,74.15,0,49.3,,flow_dormant=база не была тихой: оборот 10.81 к падению > 0.95 (база 263 баров падения) | flow_hidden=цена растёт: наклон 0.05174 > 0.002 | flow_spring=фон шумный: rel_vol 5.19 > 0.95,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,134,12,9,10,up,0.231,0,-0.00614,0.4987,1.43,223,81.0,,flow_dormant=цикла не было: рост до пика x1.43 < x3.0 | flow_hidden=цена растёт: наклон 0.00862 > 0.002 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
EDENUSDT,1,55,flow_churn,умеренный,7,неделя,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.050026666666666664,60,9,6,3,up,0.099,0,-0.0067,0.4954,6.82,84,79.7,,flow_dormant=база широка: 145.0% при падении 79.7% — доля 1.82 > 0.55 | flow_hidden=поток не растёт: наклон -0.00670 < 0.01 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,130,16,11,10,none,0.0,0,0.00676,0.5034,3.74,86,63.7,,flow_dormant=отскока не было: 11.5% < 15.0% | flow_hidden=цена растёт: наклон 0.00247 > 0.002 | flow_spring=событий за 24 баров 0 < 2,
APRUSDT,1,56,flow_churn,умеренный,2,дни,0.0,0.0,0.0,25.4,0.0,68.5,0.0,0.5136,66,9,5,3,none,0.0,0,0.01026,0.5112,10.14,2,67.3,,flow_dormant=база широка: 328.2% при падении 67.3% — доля 4.88 > 0.55 | flow_hidden=цена растёт: наклон 0.00711 > 0.002 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
TUTUSDT,1,76,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.012403333333333332,108,7,5,10,up,0.229,0,0.01841,0.5093,42.59,5,91.6,,flow_dormant=база широка: 3477.2% при падении 91.6% — доля 37.98 > 0.55 | flow_hidden=цена растёт: наклон 0.04089 > 0.002 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
HYPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,75,6,5,10,down,0.243,0,-0.01674,0.4882,3.76,59,33.6,,flow_dormant=падение 33.6% < 45.0% | flow_hidden=поток не растёт: наклон -0.01674 < 0.01 | flow_spring=событий за 24 баров 0 < 2,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29,1,1,3,none,0.0,0,0.02427,0.5122,15.16,3,52.4,,flow_dormant=отскока не было: 5.7% < 15.0% | flow_hidden=цена растёт: наклон 0.02194 > 0.002 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
VELVETUSDT,1,53,flow_churn,умеренный,7,неделя,0.0,0.0,0.0,22.2,0.0,54.8,0.0,0.8464333333333334,113,14,9,10,up,0.211,0,-0.01194,0.4933,38.07,46,88.1,,flow_dormant=база не была тихой: оборот 10.13 к падению > 0.95 (база 336 баров падения) | flow_hidden=поток не растёт: наклон -0.01194 < 0.01 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
PUMPUSDT,1,100,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.002345666666666667,38,7,3,10,none,0.0,0,0.00471,0.5031,2.0,198,65.8,,flow_dormant=цикла не было: рост до пика x2.00 < x3.0 | flow_hidden=цена растёт: наклон 0.01272 > 0.002 | flow_spring=фон шумный: rel_vol 1.51 > 0.95,
LINKUSDT,1,58,flow_fuel,умеренный,25,недели,0.0,0.0,0.0,0.0,0.0,33.3,0.0,8.332,51,3,3,10,up,0.131,0,-0.00293,0.4971,1.23,212,51.5,,flow_dormant=цикла не было: рост до пика x1.23 < x3.0 | flow_hidden=цена растёт: наклон 0.00209 > 0.002 | flow_spring=фон шумный: rel_vol 1.31 > 0.95,
BTWUSDT,1,63,flow_fuel,умеренный,2,дни,0.0,0.0,0.0,0.0,0.0,37.6,0.0,0.19306666666666666,12,1,0,1,up,0.101,0,0.00115,0.5011,18.72,0,17.7,,flow_dormant=падение 17.7% < 45.0% | flow_hidden=цена растёт: наклон 0.02256 > 0.002 | flow_spring=фон шумный: rel_vol 2.61 > 0.95,
CAPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
UNIUSDT,1,71,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,46.2,0.0,3.093666666666666,69,7,3,10,up,0.38,0,-0.02047,0.4864,1.35,229,64.8,,flow_dormant=цикла не было: рост до пика x1.35 < x3.0 | flow_hidden=цена растёт: наклон 0.00558 > 0.002 | flow_spring=фон шумный: rel_vol 1.74 > 0.95,
1000PEPEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,49,8,3,10,up,0.168,0,-0.01663,0.4904,2.0,222,69.3,,flow_dormant=цикла не было: рост до пика x2.00 < x3.0 | flow_hidden=поток не растёт: наклон -0.01663 < 0.01 | flow_spring=нет опорной зоны под ценой,
HOMEUSDT,1,87,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,0.0,0.0,61.6,0.0,0.007253333333333334,98,12,10,10,none,0.0,0,-0.01023,0.4934,4.56,68,91.7,,flow_dormant=база широка: 662.4% при падении 91.7% — доля 7.22 > 0.55 | flow_hidden=поток не растёт: наклон -0.01023 < 0.01 | flow_spring=фон шумный: rel_vol 2.31 > 0.95,
AVAAIUSDT,1,64,flow_churn,умеренный,2,дни,0.0,0.0,0.0,33.1,0.0,51.4,0.0,0.014783333333333334,106,12,5,10,up,0.308,0,-0.0155,0.49,3.75,0,22.4,,flow_dormant=падение 22.4% < 45.0% | flow_hidden=цена растёт: наклон 0.01392 > 0.002 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
WLDUSDT,1,74,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,0.0,48.5,0.0,0.28103333333333336,83,9,6,10,up,0.228,0,-0.02868,0.4838,3.2,58,59.5,,flow_dormant=база не была тихой: оборот 1.23 к падению > 0.95 (база 440 баров падения) | flow_hidden=поток не растёт: наклон -0.02868 < 0.01 | flow_spring=событий за 24 баров 0 < 2,
BEATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,64,6,3,3,up,0.127,0,-0.00503,0.4954,89.62,63,94.7,,flow_dormant=база не была тихой: оборот 1.46 к падению > 0.95 (база 216 баров падения) | flow_hidden=поток не растёт: наклон -0.00503 < 0.01 | flow_spring=фон шумный: rel_vol 1.19 > 0.95,
GRVTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
