symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
GPSUSDT,1,76,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,0.0,51.4,0.0,0.015578333333333335,134,16,12,10,down,0.208,0,0.00822,0.5129,4.13,0,16.9,,flow_dormant=падение 16.9% < 45.0% | flow_hidden=цена растёт: наклон 0.00379 > 0.002 | flow_leverage=цена идёт: +89.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,135,14,9,10,none,0.0,0,-0.00084,0.4991,6.17,4,68.2,,flow_dormant=база широка: 517.1% при падении 68.2% — доля 2.42 > 0.55 | flow_hidden=цена растёт: наклон 0.01286 > 0.002 | flow_leverage=цена идёт: +216.5% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
TUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
ZECUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,131,13,9,10,none,0.0,0,0.00994,0.5036,3.74,90,63.7,,flow_dormant=отскока не было: 5.7% < 15.0% | flow_hidden=цена растёт: наклон 0.00270 > 0.002 | flow_leverage=фандинг не отрицательный: 7.9% APR > -5.0% | flow_spring=фон шумный: rel_vol 0.98 > 0.95,
HYPEUSDT,1,73,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,32.6,48.4,0.0,52.656499999999994,75,6,5,10,down,0.243,0,-0.01277,0.4928,3.76,63,33.6,,flow_dormant=падение 33.6% < 45.0% | flow_hidden=поток не растёт: наклон -0.01277 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.09 > 0.95,
CYSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
WLDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,86,9,6,10,up,0.272,0,-0.02472,0.4848,3.2,62,59.5,,flow_dormant=отскока не было: 11.0% < 15.0% | flow_hidden=поток не растёт: наклон -0.02472 < 0.01 | flow_leverage=фандинг не отрицательный: 0.1% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.88 > 0.95,
AKEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
SUIUSDT,1,67,flow_dormant,умеренный,25,недели,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.634,36,4,3,10,none,0.0,0,-0.03404,0.4817,1.5,224,68.7,,flow_hidden=поток не растёт: наклон -0.03404 < 0.01 | flow_leverage=фандинг не отрицательный: 3.4% APR > -5.0% | flow_spring=фон шумный: rel_vol 2.54 > 0.95,
REDUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,107,16,9,10,none,0.0,0,-0.00296,0.4981,1.35,219,70.5,,"flow_dormant=цикла не было: рост до пика x1.35 < x3.0, за жизнь x1.11 при падении 91.2% | flow_hidden=поток не растёт: наклон -0.00296 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95",
VELVETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
LINKUSDT,1,60,flow_fuel,умеренный,25,недели,0.0,0.0,0.0,0.0,0.0,35.4,0.0,8.719333333333333,55,3,2,10,up,0.118,0,-0.00414,0.498,1.2,216,51.5,,flow_dormant=отскока не было: 5.0% < 15.0% | flow_hidden=цена растёт: наклон 0.00312 > 0.002 | flow_leverage=цена идёт: +16.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.55 > 0.95,
