date,close,case,score,verdict
2025-06-08,105676,,,
2025-06-11,108600,flow_fuel,65,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 2 ретестах."
2025-06-14,105360,,,
2025-06-17,104508,,,
2025-06-20,103246,,,
2025-06-23,105291,,,
2025-06-26,106914,,,
2025-06-29,108310,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-07-02,108800,,,
2025-07-05,108153,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-07-08,108873,flow_fuel,49,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-07-11,117500,,,цель уже позади цены: цель 116473.4853 при цене 117500 — сигнал отыгран
2025-07-14,119816,flow_fuel,69,"Карта предложения: топливо: 2 уровня снято вверх, сверху свободно; уровень 108826 удержан на 3 ретестах; пробой давний ("
2025-07-17,119177,,,цель уже позади цены: цель 116473.4853 при цене 119176.6 — сигнал отыгран
2025-07-20,117216,,,"цена ушла от зоны входа на 13% (зона 103994.1833, цена 117216) — сигнал устарел"
2025-07-23,118714,,,"цена ушла от зоны входа на 14% (зона 103994.1833, цена 118713.5) — сигнал устарел"
2025-07-26,117889,,,"цена ушла от зоны входа на 13% (зона 103994.1833, цена 117889.2) — сигнал устарел"
2025-07-29,117897,,,"цена ушла от зоны входа на 13% (зона 103994.1833, цена 117897) — сигнал устарел"
2025-08-01,113245,flow_fuel,55,"Карта предложения: топливо: 1 уровня снято вверх, сверху свободно; уровень 103994 удержан на 3 ретестах; пробой давний ("
2025-08-04,115002,flow_spring,52,"Пружина: сжатие x1.2 на серии из 3 событий, диапазон 10.0%; опора: зона 103994, плато 17 дней; опора подтверждена одним "
2025-08-07,117420,,,цель уже позади цены: цель 116473.4853 при цене 117419.9 — сигнал отыгран
