Rank,Symbol,Category,Score,Price,Drop_from_ATH_%,Days_in_base,Days_since_ATH,Daily_Volume_USD,Avg_Volume_30d_USD,Open_Interest_USD,OI_at_low,Funding_Rate_%,OBV_Divergence_%,BB_Squeeze_Percentile,BB_Width_%,Price_Range_Position_%,RVOL_%,Reasons,Warnings
1,AXSUSDT,STRONG,80,0.894,-75.72,499,437,2883882.0,6658562.0,5848185.0,True,-0.0083,21.16,85.4,17.32,7.8,52.4,Падение 76% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+21%) | Экстремальный Bollinger squeeze (85%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
2,OPUSDT,STRONG,80,0.0928,-90.27,499,440,10539941.0,19329832.0,12030838.0,True,0.01,23.15,92.7,16.63,9.6,53.3,Падение 90% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+23%) | Экстремальный Bollinger squeeze (93%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
3,ICPUSDT,STRONG,80,2.153,-78.13,499,259,8856953.0,15731000.0,20957595.0,True,0.0055,24.52,95.8,10.31,10.2,77.4,Падение 78% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+25%) | Экстремальный Bollinger squeeze (96%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
4,BICOUSDT,STRONG,80,0.01354,-91.22,499,439,848733.0,6702078.0,1712304.0,True,0.01,45.03,99.0,13.96,1.3,36.2,Падение 91% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+45%) | Экстремальный Bollinger squeeze (99%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
5,POWRUSDT,STRONG,80,0.0433,-79.05,499,439,422820.0,7953948.0,821520.0,True,-0.0004,1668.96,100.0,5.26,15.9,41.9,Падение 79% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+1669%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
6,PORTALUSDT,STRONG,80,0.01036,-90.23,55,487,1028690.0,5261686.0,1601296.0,True,0.005,80.71,92.7,20.36,7.2,54.1,Падение 90% от ATH | База 55 дней | Сильная бычья OBV-дивергенция (+81%) | Экстремальный Bollinger squeeze (93%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
7,SUSDT,STRONG,80,0.02353,-96.3,499,486,1344341.0,9061573.0,2832682.0,True,-0.0022,129.82,96.9,13.34,17.5,51.5,Падение 96% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+130%) | Экстремальный Bollinger squeeze (97%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
8,TRUMPUSDT,STRONG,80,1.567,-90.47,499,455,18309398.0,40123415.0,25404017.0,True,-0.0006,57.13,99.0,9.33,8.8,40.2,Падение 90% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+57%) | Экстремальный Bollinger squeeze (99%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
9,BERAUSDT,STRONG,80,0.1817,-97.97,499,483,7138254.0,6342255.0,4490929.0,True,0.005,25.47,89.6,19.52,5.5,117.5,Падение 98% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+25%) | Экстремальный Bollinger squeeze (90%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
10,PUNDIXUSDT,STRONG,80,0.08085,-87.52,451,448,529043.0,5473038.0,858066.0,True,0.005,186.71,97.7,8.73,6.6,85.4,Падение 88% от ATH | База 451 дней | Сильная бычья OBV-дивергенция (+187%) | Экстремальный Bollinger squeeze (98%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
11,RIVERUSDT,STRONG,80,3.062,-96.44,219,180,3483104.0,10038463.0,6679955.0,True,0.005,44.07,90.6,27.66,0.7,42.8,Падение 96% от ATH | База 219 дней | Сильная бычья OBV-дивергенция (+44%) | Экстремальный Bollinger squeeze (91%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
12,BSBUSDT,STRONG,80,0.12757,-95.34,122,66,3935000.0,17837341.0,7983477.0,True,0.005,81.01,100.0,38.09,2.5,23.7,Падение 95% от ATH | База 122 дней | Сильная бычья OBV-дивергенция (+81%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
13,TNSRUSDT,STRONG,75,0.0323,-91.12,499,247,10549393.0,6377342.0,3065268.0,False,0.005,33.0,95.8,12.92,19.3,344.3,Падение 91% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+33%) | Экстремальный Bollinger squeeze (96%ile) | Цена на дне 60-дневного диапазона | Повышенный RVOL 344%,
14,MANTAUSDT,STRONG,73,0.06202,-82.2,499,438,1305603.0,19797698.0,4140550.0,True,0.005,90.47,83.3,18.16,7.3,49.2,Падение 82% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+90%) | Сильный Bollinger squeeze | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
15,GALAUSDT,STRONG,70,0.001997,-91.55,499,440,3863211.0,9268652.0,4823462.0,True,0.01,13.9,100.0,13.68,4.0,38.8,Падение 92% от ATH | База 499 дней | Умеренная OBV-дивергенция (+14%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
