Rank,Symbol,Category,Score,Price,Drop_from_ATH_%,Days_in_base,Days_since_ATH,Daily_Volume_USD,Avg_Volume_30d_USD,Open_Interest_USD,OI_at_low,Funding_Rate_%,OBV_Divergence_%,BB_Squeeze_Percentile,BB_Width_%,Price_Range_Position_%,RVOL_%,Reasons,Warnings
1,BELUSDT,STRONG,80,0.1024,-87.58,499,487,158949.0,12445664.0,1559078.0,True,0.01,184.22,92.7,14.41,16.3,7.4,Падение 88% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+184%) | Экстремальный Bollinger squeeze (93%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
2,AXSUSDT,STRONG,80,0.89,-75.83,499,438,215787.0,6290355.0,5787310.0,True,-0.0198,21.0,85.4,17.85,6.9,4.1,Падение 76% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+21%) | Экстремальный Bollinger squeeze (85%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
3,OPUSDT,STRONG,80,0.0924,-90.31,499,441,418107.0,18262952.0,11967958.0,True,0.01,20.7,96.9,15.55,8.7,2.2,Падение 90% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+21%) | Экстремальный Bollinger squeeze (97%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
4,ICPUSDT,STRONG,80,2.155,-78.11,499,260,477915.0,14998165.0,20823823.0,True,-0.0016,26.76,94.8,10.48,10.3,4.3,Падение 78% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+27%) | Экстремальный Bollinger squeeze (95%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
5,BICOUSDT,STRONG,80,0.01356,-91.21,499,440,71210.0,5872893.0,1721929.0,True,0.01,46.12,100.0,10.3,1.4,3.4,Падение 91% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+46%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
6,POWRUSDT,STRONG,80,0.0433,-79.05,499,440,46045.0,7931287.0,825634.0,True,0.005,2222.57,100.0,4.81,15.9,4.7,Падение 79% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+2223%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
7,GRASSUSDT,STRONG,80,0.3413,-86.91,147,430,87550.0,9442022.0,6567867.0,True,0.005,30.52,85.4,22.23,11.4,2.6,Падение 87% от ATH | База 147 дней | Сильная бычья OBV-дивергенция (+31%) | Экстремальный Bollinger squeeze (85%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
8,SUSDT,STRONG,80,0.0234,-96.32,499,487,55544.0,8908313.0,2791181.0,True,-0.0187,119.69,97.9,13.1,18.6,2.3,Падение 96% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+120%) | Экстремальный Bollinger squeeze (98%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
9,TRUMPUSDT,STRONG,80,1.567,-90.47,499,456,751993.0,37448241.0,25335175.0,True,-0.0003,53.62,100.0,7.11,8.8,1.7,Падение 90% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+54%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
10,BERAUSDT,STRONG,80,0.1791,-98.0,499,484,438407.0,6186876.0,4379223.0,True,0.005,28.24,95.8,16.01,4.2,7.0,Падение 98% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+28%) | Экстремальный Bollinger squeeze (96%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
11,MYXUSDT,STRONG,80,0.07844,-99.58,403,318,126249.0,10144547.0,5667648.0,True,0.005,59.58,98.7,19.31,4.6,2.1,Падение 100% от ATH | База 403 дней | Сильная бычья OBV-дивергенция (+60%) | Экстремальный Bollinger squeeze (99%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
12,RIVERUSDT,STRONG,80,3.068,-96.43,220,181,233118.0,9568320.0,6712910.0,True,0.005,43.65,92.5,25.81,0.9,3.0,Падение 96% от ATH | База 220 дней | Сильная бычья OBV-дивергенция (+44%) | Экстремальный Bollinger squeeze (92%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
13,BSBUSDT,STRONG,80,0.1286,-95.31,123,67,229280.0,17495728.0,8054430.0,True,0.005,87.09,100.0,24.45,2.7,2.2,Падение 95% от ATH | База 123 дней | Сильная бычья OBV-дивергенция (+87%) | Экстремальный Bollinger squeeze (100%ile) | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
14,MANTAUSDT,STRONG,73,0.0618,-82.27,499,439,65387.0,19505269.0,4117227.0,True,0.005,89.11,84.4,18.12,7.1,2.6,Падение 82% от ATH | База 499 дней | Сильная бычья OBV-дивергенция (+89%) | Сильный Bollinger squeeze | Цена на дне 60-дневного диапазона | OI на историческом минимуме,
15,MIRAUSDT,STRONG,73,0.04274,-97.76,303,303,2120617.0,12931092.0,3313244.0,False,-0.3408,110.68,77.2,18.54,9.7,12.5,Падение 98% от ATH | База 303 дней | Сильная бычья OBV-дивергенция (+111%) | Сильный Bollinger squeeze | Цена на дне 60-дневного диапазона | Отрицательный funding (-0.341%),
