Symbol,Category,Score,Pattern,Phase,TF,Size %,Upside,Price,Drop %,Base d,DV,MCap Rank,MCap USD,TVL USD,Twitter,Analysis,Fundamental,Reasons,Warnings
METUSDT,GOOD,66,TAIKO,PHASE_3_BULL_CROSS,1w,1.75,x3 – x8,0.164900,90.4,38,7.89M,,,,,"Глубокое падение 90% от ATH, молодая база 38d, сильная OBV-дивергенция +410%, Vortex перекрёст (ранний вход), экстремальный RVOL 317%. Хороший сетап для ранней позиции.","MET — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 90.4% от ATH | OBV +410% | Vortex Фаза 3 | MaxRVOL 317% | Низкий OI vs объём,
GMXUSDT,GOOD,63,TAIKO,PHASE_3_BULL_CROSS,1w,1.75,x3 – x8,6.674000,89.7,26,1.78M,,,,,"Сильное падение 90% от ATH, молодая база 26d, сильная OBV-дивергенция +41%, Vortex перекрёст (ранний вход), экстремальный RVOL 325%. Хороший сетап для ранней позиции.","GMX — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 89.7% от ATH | OBV +41% | Vortex Фаза 3 | MaxRVOL 325% | Низкий OI vs объём,
JTOUSDT,GOOD,62,MIXED,PHASE_4_STRONG_BULL,1w,1.75,x3 – x8,0.586500,89.0,68,18.45M,,,,,"Сильное падение 89% от ATH, молодая база 68d, сильная OBV-дивергенция +86%, Vortex Фаза 4 (сильный бычий импульс). Хороший сетап для ранней позиции.","JTO — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 89.0% от ATH | База 68d | OBV +86% | Vortex Фаза 4 | Низкий OI vs объём,
XANUSDT,GOOD,62,TAIKO,PHASE_4_STRONG_BULL,1w,1.75,x3 – x8,0.011167,95.7,138,3.55M,,,,,"Глубокое падение 96% от ATH, база 138d, Vortex Фаза 4 (сильный бычий импульс), повышенный RVOL 214%. Хороший сетап для ранней позиции.","XAN — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 95.7% от ATH | База 138d | Vortex Фаза 4 | MaxRVOL 214% | Низкий OI vs объём,
RAVEUSDT,SCOUT,100,DEXE,PHASE_1_ACTIVE_DUMP,1w,0.40,x5 – x15,0.301900,98.9,60,5.42M,,,,,"Взрывной рост +13675% за 37d, затем flash crash -98% за 4 бар(ов) Обнаружено 2 свежих сигналов разворота (крупные откупы). Классический DEXE-сетап.","RAVE — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 98.9% от ATH | База 60d | OBV +483% | MaxRVOL 1290% | Низкий OI vs объём | DEXE: +13675%/37d → -98% | Амплитуда 92% | ⚪ 2 сигналов разворота,Vortex Фаза 1 — распродажа
BROCCOLI714USDT,SCOUT,86,DEXE,PHASE_2_TRANSITION,1w,0.40,x5 – x15,0.012750,86.0,26,902.3K,,,,,"Взрывной рост +741% за 13d, затем flash crash -86% за 4 бар(ов) Обнаружено 11 свежих сигналов разворота (крупные откупы). Классический DEXE-сетап.","BROCCOLI714 — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 86.0% от ATH | OBV +38% | Vortex Фаза 2 | Низкий OI vs объём | DEXE: +741%/13d → -86% | Амплитуда 86% | ⚪ 11 сигналов разворота,
POWERUSDT,SCOUT,80,DEXE,PHASE_2_TRANSITION,1w,0.40,x5 – x15,0.091660,96.4,142,2.49M,,,,,"Взрывной рост +1946% за 42d, затем flash crash -95% за 4 бар(ов) Разворотные сигналы пока не появились — держим на радаре.","POWER — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 96.4% от ATH | База 142d | Vortex Фаза 2 | MaxRVOL 1657% | Низкий OI vs объём | DEXE: +1946%/42d → -95% | Амплитуда 91%,Нет сигналов разворота
BABYUSDT,SCOUT,77,DEXE,PHASE_2_TRANSITION,1w,0.40,x5 – x15,0.012480,99.0,141,1.57M,,,,,"Взрывной рост +10530% за 59d, затем flash crash -99% за 4 бар(ов) Разворотные сигналы пока не появились — держим на радаре.","BABY — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 99.0% от ATH | База 141d | OBV +106% | Vortex Фаза 2 | Низкий OI vs объём | DEXE: +10530%/59d → -99% | Амплитуда 99%,Нет сигналов разворота
ORDIUSDT,SCOUT,63,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,3.849000,96.0,50,11.76M,,,,,"Глубокое падение 96% от ATH, молодая база 50d, сильная OBV-дивергенция +4516%, Vortex в переходной зоне, экстремальный RVOL 400%. Разведочная позиция — рано для полного входа.","ORDI — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 96.0% от ATH | База 50d | OBV +4516% | Vortex Фаза 2 | MaxRVOL 400% | Низкий OI vs объём,
USTCUSDT,SCOUT,63,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.005298,93.2,113,456.7K,,,,,"Глубокое падение 93% от ATH, база 113d, позитивный OBV +19%, Vortex в переходной зоне, экстремальный RVOL 434%. Разведочная позиция — рано для полного входа.","USTC — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 93.2% от ATH | База 113d | OBV +19% | Vortex Фаза 2 | MaxRVOL 434% | Низкий OI vs объём,
HMSTRUSDT,SCOUT,62,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.000180,98.0,20,4.33M,,,,,"Глубокое падение 98% от ATH, молодая база 20d, свежий OBV-спайк (тихий набор позиций), Vortex в переходной зоне, экстремальный RVOL 1687%. Разведочная позиция — рано для полного входа.","HMSTR — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 98.0% от ATH | Свежий OBV-спайк | Vortex Фаза 2 | MaxRVOL 1687% | Низкий OI vs объём,
AEROUSDT,SCOUT,62,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.413300,82.4,50,11.89M,,,,,"Сильное падение 82% от ATH, молодая база 50d, сильная OBV-дивергенция +64%, Vortex в переходной зоне, экстремальный RVOL 323%. Разведочная позиция — рано для полного входа.","AERO — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 82.4% от ATH | База 50d | OBV +64% | Vortex Фаза 2 | MaxRVOL 323% | Низкий OI vs объём,
GIGGLEUSDT,SCOUT,62,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,26.710000,90.8,103,3.85M,,,,,"Глубокое падение 91% от ATH, база 103d, сильная OBV-дивергенция +2022%, Vortex в переходной зоне, повышенный RVOL 246%. Разведочная позиция — рано для полного входа.","GIGGLE — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 90.8% от ATH | База 103d | OBV +2022% | Vortex Фаза 2 | MaxRVOL 246% | Низкий OI vs объём,
TRUSTUSDT,SCOUT,62,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.050380,91.6,179,1.13M,,,,,"Глубокое падение 92% от ATH, база 179d, сильная OBV-дивергенция +31%, Vortex в переходной зоне, повышенный RVOL 186%. Разведочная позиция — рано для полного входа.","TRUST — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 91.6% от ATH | База 179d | OBV +31% | Vortex Фаза 2 | MaxRVOL 186% | Низкий OI vs объём,
VIRTUALUSDT,SCOUT,60,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.580500,88.8,201,17.64M,,,,,"Сильное падение 89% от ATH, выдержанная база 201d, Vortex в переходной зоне, экстремальный RVOL 337%. Разведочная позиция — рано для полного входа.","VIRTUAL — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 88.8% от ATH | База 201d | Vortex Фаза 2 | MaxRVOL 337% | Низкий OI vs объём,
COAIUSDT,SCOUT,60,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.310500,98.5,221,2.51M,,,,,"Глубокое падение 98% от ATH, выдержанная база 221d, сильная OBV-дивергенция +30%, Vortex в переходной зоне. Разведочная позиция — рано для полного входа.","COAI — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 98.5% от ATH | База 221d | OBV +30% | Vortex Фаза 2 | Низкий OI vs объём,
TURTLEUSDT,SCOUT,60,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.038380,85.5,179,1.89M,,,,,"Сильное падение 85% от ATH, база 179d, позитивный OBV +19%, Vortex в переходной зоне, экстремальный RVOL 440%. Разведочная позиция — рано для полного входа.","TURTLE — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 85.5% от ATH | База 179d | OBV +19% | Vortex Фаза 2 | MaxRVOL 440% | Низкий OI vs объём,
CROSSUSDT,SCOUT,59,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.089780,80.0,104,1.12M,,,,,"Сильное падение 80% от ATH, база 104d, сильная OBV-дивергенция +67%, Vortex в переходной зоне, повышенный RVOL 234%. Разведочная позиция — рано для полного входа.","CROSS — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 80.0% от ATH | База 104d | OBV +67% | Vortex Фаза 2 | MaxRVOL 234% | Низкий OI vs объём,
DOGSUSDT,SCOUT,58,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.000037,97.8,78,2.03M,,,,,"Глубокое падение 98% от ATH, молодая база 78d, сильная OBV-дивергенция +257%, Vortex в переходной зоне, повышенный RVOL 157%. Разведочная позиция — рано для полного входа.","DOGS — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 97.8% от ATH | База 78d | OBV +257% | Vortex Фаза 2 | MaxRVOL 157% | Низкий OI vs объём,
ACXUSDT,SCOUT,58,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.041350,96.9,138,1.32M,,,,,"Глубокое падение 97% от ATH, база 138d, Vortex в переходной зоне, экстремальный RVOL 631%. Разведочная позиция — рано для полного входа.","ACX — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 96.9% от ATH | База 138d | Vortex Фаза 2 | MaxRVOL 631% | Низкий OI vs объём,
BROCCOLIF3BUSDT,SCOUT,58,MIXED,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.005188,95.6,69,16.49M,,,,,"Глубокое падение 96% от ATH, молодая база 69d, Vortex перекрёст (ранний вход), экстремальный RVOL 3037%. Разведочная позиция — рано для полного входа.","BROCCOLIF3B — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 95.6% от ATH | База 69d | Vortex Фаза 3 | MaxRVOL 3037% | Низкий OI vs объём,
XNYUSDT,SCOUT,58,TAIKO,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.006384,79.4,67,1.89M,,,,,"Сильное падение 79% от ATH, молодая база 67d, позитивный OBV +14%, Vortex перекрёст (ранний вход), экстремальный RVOL 906%. Разведочная позиция — рано для полного входа.","XNY — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 79.4% от ATH | База 67d | OBV +14% | Vortex Фаза 3 | MaxRVOL 906%,
HUMAUSDT,SCOUT,57,TAIKO,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.021703,78.3,106,1.67M,,,,,"Сильное падение 78% от ATH, база 106d, позитивный OBV +20%, Vortex перекрёст (ранний вход), повышенный RVOL 239%. Разведочная позиция — рано для полного входа.","HUMA — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 78.3% от ATH | База 106d | OBV +20% | Vortex Фаза 3 | MaxRVOL 239%,
TRUTHUSDT,SCOUT,57,MIXED,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.013021,75.0,70,1.58M,,,,,"Сильное падение 75% от ATH, молодая база 70d, сильная OBV-дивергенция +62%, Vortex перекрёст (ранний вход), повышенный RVOL 201%. Разведочная позиция — рано для полного входа.","TRUTH — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 75.0% от ATH | База 70d | OBV +62% | Vortex Фаза 3 | MaxRVOL 201%,
